title,price,rating_stars,product_url,image_url
Packard 255 G2,$416.99,0,/test-sites/e-commerce/static/product/31,/images/test-sites/e-commerce/items/cart2.png
Aspire E1-510,$306.99,0,/test-sites/e-commerce/static/product/32,/images/test-sites/e-commerce/items/cart2.png
ThinkPad T540p,$1178.99,0,/test-sites/e-commerce/static/product/33,/images/test-sites/e-commerce/items/cart2.png
ProBook,$739.99,0,/test-sites/e-commerce/static/product/34,/images/test-sites/e-commerce/items/cart2.png
ThinkPad X240,$1311.99,0,/test-sites/e-commerce/static/product/35,/images/test-sites/e-commerce/items/cart2.png
Aspire E1-572G,$581.99,0,/test-sites/e-commerce/static/product/36,/images/test-sites/e-commerce/items/cart2.png
ThinkPad Yoga,$1033.99,0,/test-sites/e-commerce/static/product/37,/images/test-sites/e-commerce/items/cart2.png
Pavilion,$609.99,0,/test-sites/e-commerce/static/product/38,/images/test-sites/e-commerce/items/cart2.png
Inspiron 15,$745.99,0,/test-sites/e-commerce/static/product/39,/images/test-sites/e-commerce/items/cart2.png
Dell XPS 13,$1281.99,0,/test-sites/e-commerce/static/product/40,/images/test-sites/e-commerce/items/cart2.png
ThinkPad X230,$1244.99,0,/test-sites/e-commerce/static/product/41,/images/test-sites/e-commerce/items/cart2.png
HP 250 G3,$520.99,0,/test-sites/e-commerce/static/product/42,/images/test-sites/e-commerce/items/cart2.png
ThinkPad Yoga,$1223.99,0,/test-sites/e-commerce/static/product/43,/images/test-sites/e-commerce/items/cart2.png
HP 350 G1,$577.99,0,/test-sites/e-commerce/static/product/44,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$399,0,/test-sites/e-commerce/static/product/45,/images/test-sites/e-commerce/items/cart2.png
Dell Vostro 15,$488.78,0,/test-sites/e-commerce/static/product/46,/images/test-sites/e-commerce/items/cart2.png
Acer Spin 5,$564.98,0,/test-sites/e-commerce/static/product/47,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A5...,$679,0,/test-sites/e-commerce/static/product/48,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,$679,0,/test-sites/e-commerce/static/product/49,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$729,0,/test-sites/e-commerce/static/product/50,/images/test-sites/e-commerce/items/cart2.png
Asus ROG STRIX...,$799,0,/test-sites/e-commerce/static/product/51,/images/test-sites/e-commerce/items/cart2.png
Acer Nitro 5 A...,$809,0,/test-sites/e-commerce/static/product/52,/images/test-sites/e-commerce/items/cart2.png
Asus ROG STRIX...,$899,0,/test-sites/e-commerce/static/product/53,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,$999,0,/test-sites/e-commerce/static/product/54,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,$1149,0,/test-sites/e-commerce/static/product/55,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,$1399,0,/test-sites/e-commerce/static/product/56,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1769,0,/test-sites/e-commerce/static/product/57,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1769,0,/test-sites/e-commerce/static/product/58,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1799,0,/test-sites/e-commerce/static/product/59,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$295.99,0,/test-sites/e-commerce/static/product/60,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,$299,0,/test-sites/e-commerce/static/product/61,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,$299,0,/test-sites/e-commerce/static/product/62,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,$321.94,0,/test-sites/e-commerce/static/product/63,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,$356.49,0,/test-sites/e-commerce/static/product/64,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,$364.46,0,/test-sites/e-commerce/static/product/65,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$372.7,0,/test-sites/e-commerce/static/product/66,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,$379.94,0,/test-sites/e-commerce/static/product/67,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$379.95,0,/test-sites/e-commerce/static/product/68,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$391.48,0,/test-sites/e-commerce/static/product/69,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$393.88,0,/test-sites/e-commerce/static/product/70,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$399.99,0,/test-sites/e-commerce/static/product/71,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,$404.23,0,/test-sites/e-commerce/static/product/72,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$408.98,0,/test-sites/e-commerce/static/product/73,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,$409.63,0,/test-sites/e-commerce/static/product/74,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$410.46,0,/test-sites/e-commerce/static/product/75,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$410.66,0,/test-sites/e-commerce/static/product/76,/images/test-sites/e-commerce/items/cart2.png
Asus EeeBook R...,$433.3,0,/test-sites/e-commerce/static/product/77,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$436.29,0,/test-sites/e-commerce/static/product/78,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$436.29,0,/test-sites/e-commerce/static/product/79,/images/test-sites/e-commerce/items/cart2.png
Acer Extensa 1...,$439.73,0,/test-sites/e-commerce/static/product/80,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$454.62,0,/test-sites/e-commerce/static/product/81,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,$454.73,0,/test-sites/e-commerce/static/product/82,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,$457.38,0,/test-sites/e-commerce/static/product/83,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,$465.95,0,/test-sites/e-commerce/static/product/84,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$468.56,0,/test-sites/e-commerce/static/product/85,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$469.1,0,/test-sites/e-commerce/static/product/86,/images/test-sites/e-commerce/items/cart2.png
