UPC,Book Title,Author,Original Price (Books.toscrape.com),Author (from Google Books API),ISBN,Competitor Price (Booksrun.com),Booksrun Link,Original Price (Float),Competitor Price (Float),Absolute Price Difference,Percentage Price Difference,Suggested Price Action (Dynamic)
a897fe39b1053632,A Light in the Attic,N/A,Â£51.77,Shel Silverstein,9780062999702,No offers available,https://booksrun.com/search?q=9780062999702,51.77,,,,No Action (Price not available from one/both sources)
90fa61229261140a,Tipping the Velvet,N/A,Â£53.74,Sarah Waters,9781844088195,No offers available,https://booksrun.com/search?q=9781844088195,53.74,,,,No Action (Price not available from one/both sources)
6957f44c3847a760,Soumission,N/A,Â£50.10,Canada,,,,50.1,,,,No Action (Price not available from one/both sources)
e00eb4fd7b871a48,Sharp Objects,N/A,Â£47.82,Gillian Flynn,9780525575740,No offers available,https://booksrun.com/search?q=9780525575740,47.82,,,,No Action (Price not available from one/both sources)
4165285e1663650f,Sapiens: A Brief History of Humankind,N/A,Â£54.23,Yuval Noah Harari,9780062316103,No offers available,https://booksrun.com/search?q=9780062316103,54.23,,,,No Action (Price not available from one/both sources)
f77dbf2323deb740,The Requiem Red,N/A,Â£22.65,Brynn Chapman,9781942664857,No offers available,https://booksrun.com/search?q=9781942664857,22.65,,,,No Action (Price not available from one/both sources)
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,N/A,Â£33.34,Don Raskin,9781942872764,No offers available,https://booksrun.com/search?q=9781942872764,33.34,,,,No Action (Price not available from one/both sources)
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",N/A,Â£17.93,Karen J. Hicks,9781941644119,No offers available,https://booksrun.com/search?q=9781941644119,17.93,,,,No Action (Price not available from one/both sources)
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,N/A,Â£22.60,Daniel James Brown,9780593512302,No offers available,https://booksrun.com/search?q=9780593512302,22.6,,,,No Action (Price not available from one/both sources)
1dfe412b8ac00530,The Black Maria,N/A,Â£52.15,Aracelis Girmay,9781942683032,No offers available,https://booksrun.com/search?q=9781942683032,52.15,,,,No Action (Price not available from one/both sources)
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",N/A,Â£13.99,N/A,,,,13.99,,,,No Action (Price not available from one/both sources)
30a7f60cd76ca58c,Shakespeare's Sonnets,N/A,Â£20.66,William Shakespeare,9781788880152,No offers available,https://booksrun.com/search?q=9781788880152,20.66,,,,No Action (Price not available from one/both sources)
ce6396b0f23f6ecc,Set Me Free,N/A,Â£17.46,Cheronne Romy Roberts,9798385208630,Wrong Isbn,https://booksrun.com/search?q=9798385208630,17.46,,,,No Action (Price not available from one/both sources)
3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),N/A,Â£52.29,Bryan Lee O'Malley,9781620100431,No offers available,https://booksrun.com/search?q=9781620100431,52.29,,,,No Action (Price not available from one/both sources)
a34ba96d4081e6a4,Rip it Up and Start Again,N/A,Â£35.02,Simon Reynolds,9781101201053,No offers available,https://booksrun.com/search?q=9781101201053,35.02,,,,No Action (Price not available from one/both sources)
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",N/A,Â£57.25,Michael Azerrad,9780316063791,No offers available,https://booksrun.com/search?q=9780316063791,57.25,,,,No Action (Price not available from one/both sources)
feb7cc7701ecf901,Olio,N/A,Â£23.88,Edgar M Zavitz,9781014701558,No offers available,https://booksrun.com/search?q=9781014701558,23.88,,,,No Action (Price not available from one/both sources)
e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,N/A,Â£37.59,"Edgar Allan Poe, Nathaniel Hawthorne, Lydia Child, Thomas Charles Morgan, Percival Leigh, William Mudford, Frederick Marryat",9781933747491,No offers available,https://booksrun.com/search?q=9781933747491,37.59,,,,No Action (Price not available from one/both sources)
a18a4f574854aced,Libertarianism for Beginners,N/A,Â£51.33,Todd Seavey,9781939994677,No offers available,https://booksrun.com/search?q=9781939994677,51.33,,,,No Action (Price not available from one/both sources)
a22124811bfa8350,It's Only the Himalayas,N/A,Â£45.17,S. Bedford,9781927366486,No offers available,https://booksrun.com/search?q=9781927366486,45.17,,,,No Action (Price not available from one/both sources)
23356462d1320d61,In Her Wake,N/A,Â£12.84,Amanda Jennings,9781910633304,No offers available,https://booksrun.com/search?q=9781910633304,12.84,,,,No Action (Price not available from one/both sources)
327f68a59745c102,How Music Works,N/A,Â£37.32,David Byrne,9780804188937,No offers available,https://booksrun.com/search?q=9780804188937,37.32,,,,No Action (Price not available from one/both sources)
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",N/A,Â£30.52,America's Test Kitchen,9781940352534,No offers available,https://booksrun.com/search?q=9781940352534,30.52,,,,No Action (Price not available from one/both sources)
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),N/A,Â£25.27,Stuart Gibbs,9780062048431,No offers available,https://booksrun.com/search?q=9780062048431,25.27,,,,No Action (Price not available from one/both sources)
00bfed9e18bb36f3,Black Dust,N/A,Â£34.53,Adrian Phoenix,9781439167939,No offers available,https://booksrun.com/search?q=9781439167939,34.53,,,,No Action (Price not available from one/both sources)
9528d0948525bf5f,Birdsong: A Story in Pictures,N/A,Â£54.64,James Sturm,9781935179948,No offers available,https://booksrun.com/search?q=9781935179948,54.64,,,,No Action (Price not available from one/both sources)
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,N/A,Â£22.50,Wayne Stewart,9781936161461,No offers available,https://booksrun.com/search?q=9781936161461,22.5,,,,No Action (Price not available from one/both sources)
904208d6aa64b655,Aladdin and His Wonderful Lamp,N/A,Â£53.13,N/A,,,,53.13,,,,No Action (Price not available from one/both sources)
4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,N/A,Â£40.30,Andrew Dickson,9780805097351,No offers available,https://booksrun.com/search?q=9780805097351,40.3,,,,No Action (Price not available from one/both sources)
ccd9ffa25efabdea,Wall and Piece,N/A,Â£44.18,Banksy,9788896968604,No offers available,https://booksrun.com/search?q=9788896968604,44.18,,,,No Action (Price not available from one/both sources)
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,N/A,Â£17.66,Don Miguel Ruiz,9781934408018,No offers available,https://booksrun.com/search?q=9781934408018,17.66,,,,No Action (Price not available from one/both sources)
3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,N/A,Â£31.05,Gary D. Chapman,9781881273622,No offers available,https://booksrun.com/search?q=9781881273622,31.05,,,,No Action (Price not available from one/both sources)
5dada2b7be26bd03,The Elephant Tree,N/A,Â£23.82,R D Ronald,9781848769533,No offers available,https://booksrun.com/search?q=9781848769533,23.82,,,,No Action (Price not available from one/both sources)
9f6568e9c95f60b0,The Bear and the Piano,N/A,Â£36.89,David Litchfield,9780711247246,No offers available,https://booksrun.com/search?q=9780711247246,36.89,,,,No Action (Price not available from one/both sources)
6be3beb0793a53e7,Sophie's World,N/A,Â£15.94,Jostein Gaarder,9781466804272,No offers available,https://booksrun.com/search?q=9781466804272,15.94,,,,No Action (Price not available from one/both sources)
668fe56b17cfcd4f,Penny Maybe,N/A,Â£33.29,Kathleen Martin,9781896764214,No offers available,https://booksrun.com/search?q=9781896764214,33.29,,,,No Action (Price not available from one/both sources)
094b269567e1c300,Maude (1883-1993):She Grew Up with the country,N/A,Â£18.02,Mardo Williams,9780964924123,No offers available,https://booksrun.com/search?q=9780964924123,18.02,,,,No Action (Price not available from one/both sources)
19ed25f4641d5efd,"In a Dark, Dark Wood",N/A,Â£19.63,Ruth Ware,9781501112317,No offers available,https://booksrun.com/search?q=9781501112317,19.63,,,,No Action (Price not available from one/both sources)
be5cc846f45496fb,Behind Closed Doors,N/A,Â£52.22,Kimberla Lawson Roby,9780060593650,No offers available,https://booksrun.com/search?q=9780060593650,52.22,,,,No Action (Price not available from one/both sources)
55f9da0c5eea2e10,You can't bury them all: Poems,N/A,Â£33.63,Patrick Woodcock,9781770908734,No offers available,https://booksrun.com/search?q=9781770908734,33.63,,,,No Action (Price not available from one/both sources)
b4fd5943413e089a,Slow States of Collapse: Poems,N/A,Â£57.31,Ashley-Elizabeth Best,9781458735423,No offers available,https://booksrun.com/search?q=9781458735423,57.31,,,,No Action (Price not available from one/both sources)
